id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,wkt
242832877,4430749298,9600722685,25.122751688516395,1,1,1,2,2,"LINESTRING(5.0527041 45.6314288, 5.0523873 45.6314719)"
242832877,9600722685,2439086856,52.93597298523121,1,1,1,2,2,"LINESTRING(5.0523873 45.6314719, 5.0519192 45.6315897, 5.0517488 45.6316355)"
242832877,2439086856,2439086875,7.1349700949468575,1,1,1,2,2,"LINESTRING(5.0517488 45.6316355, 5.0516644 45.6316605)"
242832877,2439086875,2439086910,52.351391028809395,1,1,1,2,2,"LINESTRING(5.0516644 45.6316605, 5.0510513 45.6318538)"
242832877,2439086910,4432298599,127.84664914507111,1,1,1,2,2,"LINESTRING(5.0510513 45.6318538, 5.0496489 45.6323098, 5.0495620 45.6323380)"
242832877,4432298599,2439086869,1.9474598799070622,1,1,1,2,2,"LINESTRING(5.0495620 45.6323380, 5.0495399 45.6323462)"
242832877,2439086869,2439086873,75.36657780325832,1,1,1,2,2,"LINESTRING(5.0495399 45.6323462, 5.0486470 45.6326080)"
242832877,2439086873,2439086906,47.30909578891889,1,1,1,2,2,"LINESTRING(5.0486470 45.6326080, 5.0481668 45.6327463, 5.0480921 45.6327794)"
242832877,2439086906,8290590769,60.69570676518553,1,1,1,2,2,"LINESTRING(5.0480921 45.6327794, 5.0479107 45.6328598, 5.0474255 45.6330622)"
242832877,8290590769,471120249,135.21211001444192,1,1,1,2,2,"LINESTRING(5.0474255 45.6330622, 5.0469021 45.6332949, 5.0459580 45.6337121)"
242832877,471120249,2287646959,393.5551070377454,1,1,1,2,2,"LINESTRING(5.0459580 45.6337121, 5.0453036 45.6339945, 5.0448275 45.6342291, 5.0440550 45.6347485, 5.0436341 45.6349942, 5.0431419 45.6352072, 5.0417848 45.6356635)"
242832877,2287646959,3626815754,554.829245409758,1,1,1,2,2,"LINESTRING(5.0417848 45.6356635, 5.0406115 45.6360482, 5.0396636 45.6363393, 5.0385232 45.6366569, 5.0371461 45.6370684, 5.0360952 45.6373737, 5.0355545 45.6375298, 5.0352176 45.6375935)"
242832879,2502843823,2502843799,305.3272574841677,1,1,1,2,2,"LINESTRING(5.0684580 45.6260590, 5.0681154 45.6256251, 5.0679237 45.6254440, 5.0673169 45.6244340, 5.0669562 45.6241026, 5.0666625 45.6237750, 5.0666071 45.6236581)"
242832879,2502843799,2502843773,521.1961639334163,1,1,1,2,2,"LINESTRING(5.0666071 45.6236581, 5.0668793 45.6231074, 5.0668218 45.6225647, 5.0669695 45.6218460, 5.0669784 45.6211562, 5.0673904 45.6195972, 5.0673427 45.6191154, 5.0672795 45.6190600)"
242832883,2502843861,2502843889,74.98639900961466,1,1,1,2,2,"LINESTRING(5.0536434 45.6306213, 5.0537750 45.6307355, 5.0539624 45.6312459)"
242832884,2502844001,2439086906,93.30654810832678,1,1,1,2,2,"LINESTRING(5.0486913 45.6334988, 5.0484810 45.6332002, 5.0483797 45.6331287, 5.0481775 45.6328523, 5.0480921 45.6327794)"
